entity_type,name_or_id,location_station,district_region,type_notes,contact_phone,contact_email_or_other,ownership,source_notes,last_updated_approx
Dispatch_Centre,Naguru Ambulance Station / Call & Dispatch,Naguru National Referral Hospital area,Kampala / Central,Regional call & dispatch centre (one of the first operational),Emergency: 912 (national medical),MoH EMS,Government / MoH,"Operational; followed Masaka as early centre",2025
Dispatch_Centre,Masaka Ambulance Station / Call & Dispatch,Masaka Regional Referral Hospital,Masaka / Central,Regional call & dispatch centre (first set up with KOFIH support); ~8 public ambulances noted for the area,,MoH EMS,Government / MoH + partner,Operational; serves ~2M population area,2025
Dispatch_Centre_Planned,Arua Ambulance Centre,Arua Regional Referral Hospital area,Arua / West Nile,Under development as of recent reports,,,Government / MoH,Planned regional centre,2025
Dispatch_Centre_Planned,Lira Ambulance Centre,Lira Regional Referral Hospital area,Lira / Lango,Under development,,,Government / MoH,Planned regional centre,2025
Dispatch_Centre_Planned,Mbale Ambulance Centre,Mbale Regional Referral Hospital area,Mbale / Eastern,Under development,,,Government / MoH,Planned regional centre,2025
Dispatch_Centre_Planned,Mbarara Ambulance Centre,Mbarara Regional Referral Hospital area,Mbarara / Western,Under development,,,Government / MoH,Planned regional centre,2025
Dispatch_Centre_Planned,Jinja Ambulance Centre,Jinja Regional Referral Hospital area,Jinja / Busoga,Under development,,,Government / MoH,Planned regional centre,2025
Dispatch_Centre_Planned,Yumbe Ambulance Centre,Yumbe area,Yumbe / West Nile,Under development,,,Government / MoH,Planned regional centre,2025
Dispatch_Centre_Planned,Mulago Ambulance Centre,Mulago National Referral Hospital area,Kampala / Central,Under development,,,Government / MoH,Planned regional centre,2025
Highway_Ambulance_Fleet,Uganda Red Cross Society Highway Ambulances (fleet of ~21 Type B),Major highways nationwide (e.g. Kampala-Jinja; Kampala-Masaka-Mbarara-Kabale; Kampala-Gulu; Kampala-Lira; Mbale-Soroti; Kampala-Hoima; Kampala-Fort Portal; others),Multiple regions,Type B basic life support; positioned for RTA response along highways,Toll-free: 0800 211 088; Commercial: +256 760 588 189,sgurcs@redcrossug.org / redcrossug.org,Partnership: Government of Uganda + URCS,"~21 ambulances supported by MoH funding; call & dispatch at URCS HQ (Rubaga); specific stations rotate based on need",2025-2026
Provider,City Ambulance (Head Office),Plot 12 Acacia Avenue Kololo,Kampala / Central,Private EMS; basic & advanced life support; fleet of modern ambulances,Toll-free: 0800 111 222; +256 704 009098 / 0414 240158,info@cityambulance.net / cityambulance.net,Private,Largest private EMS provider in East & Central Africa; branches also in Hoima Masaka Buliisa,2026
Provider,City Ambulance - Hoima Branch,Butiaba Road Kiganda Zone,Hoima / Western,Branch station,,0800 111 222 / +256 704 009098,info@cityambulance.net,Private,Branch of City Ambulance,2026
Provider,City Ambulance - Masaka Branch,Plot 2B Speke Road,Masaka / Central,Branch station,,0800 111 222 / +256 704 009098,info@cityambulance.net,Private,Branch of City Ambulance,2026
Provider,City Ambulance - Buliisa Branch,Buliisa-Hoima Road,Buliisa / Western,Branch station,,0800 111 222 / +256 704 009098,info@cityambulance.net,Private,Branch of City Ambulance,2026
Provider,Uganda Ambulance Service,Kampala (PO Box 8181),Kampala / Central,Private ambulance service,+256 782 556878 / 0792 112999 / Emergency 0712 112999,ugambula@yahoo.co.uk or ugambula999@gmail.com,Private,Listed in multiple directories and embassy medical assistance lists,2025
Provider,St John Ambulance Uganda,Plot 29 Buganda Road (near Baden Powell House),Kampala / Central,Ambulance & first aid services,+256 414 230671 / 0414 236007,info@stjohnuganda.org or stjohnug@utlonline.co.ug / stjohnuganda.org,Not-for-profit / Association,Long-standing provider of first aid and ambulance services,2024-2025
Provider,Uganda Red Cross Society (Commercial / HQ),Plot 551/555 Rubaga Road,Kampala / Central,Commercial ambulance hire + highway fleet coordination,0800 211 088 (emergency); +256 760 588 189 (commercial); HQ +256 414 258701,sgurcs@redcrossug.org,Not-for-profit,Offers patient referrals; event standby; lease; retainer services,2026
Provider,Ambulance Africa,St Peters Church Road Kanyanya Gayaza Road,Kampala / Central,Private emergency medical services,0393 517408,,Private,Listed in directories,2026
Aggregate_Note,National Standard Ambulances (approx total),Nationwide (concentrated more in Kampala/Central & Southwest),National,~296 standard (mostly Type B; ~11 Type C) as of mid-2026; shortfall of ~254 vs target,National medical emergency: 912,,Government + partners + private,"MoH figures; exact individual vehicle IDs and real-time stations not publicly listed. Registration exercise underway.",2026-06
Aggregate_Note,Boat Ambulances,Water bodies / islands (e.g. Lake Victoria areas Kalangala Buvuma etc.),Multiple,~12 boat ambulances previously procured/launched,,,Government / MoH,Support for water-access populations,earlier reports
